mode,steps,numtraj,freq,attper,score_type,jaccard_result,jaccard_weighted_result
asynchronous,20,20,5,0.9119047619047619,MDL,0.35294117647058826,0.3142857142857143
asynchronous,20,20,5,0.9119047619047619,BDE,0.34285714285714286,0.3055555555555556
synchronous,20,20,5,0.945,MDL,0.16666666666666666,0.16666666666666666
synchronous,5,20,5,0.78,MDL,0.14814814814814814,0.14814814814814814
synchronous,5,20,3,0.65,MDL,0.14285714285714285,0.10344827586206896
synchronous,5,20,5,0.78,BDE,0.14814814814814814,0.14814814814814814
synchronous,5,20,3,0.65,BDE,0.14285714285714285,0.10344827586206896
synchronous,20,20,5,0.945,BDE,0.16666666666666666,0.16666666666666666
asynchronous,20,20,1,0.5214285714285715,MDL,0.3333333333333333,0.3333333333333333
asynchronous,20,20,1,0.5214285714285715,BDE,0.2777777777777778,0.2777777777777778
synchronous,5,70,3,0.6342857142857142,MDL,0.13157894736842105,0.075
asynchronous,5,70,1,0.30714285714285716,MDL,0.10810810810810811,0.10810810810810811
synchronous,5,70,3,0.6342857142857142,BDE,0.15625,0.08823529411764706
asynchronous,20,70,5,0.8979591836734694,MDL,0.2926829268292683,0.2619047619047619
synchronous,20,70,3,0.9085714285714286,MDL,0.14705882352941177,0.08333333333333333
synchronous,20,70,3,0.9085714285714286,BDE,0.15151515151515152,0.08571428571428572
asynchronous,20,70,5,0.8979591836734694,BDE,0.3170731707317073,0.2857142857142857
asynchronous,5,70,1,0.30714285714285716,BDE,0.05555555555555555,0.05555555555555555
asynchronous,5,20,5,0.7916666666666666,MDL,0.3076923076923077,0.3076923076923077
asynchronous,5,70,5,0.6928571428571428,MDL,0.4827586206896552,0.4827586206896552
asynchronous,5,20,5,0.7916666666666666,BDE,0.28,0.28
asynchronous,5,70,5,0.6928571428571428,BDE,0.5384615384615384,0.5384615384615384
asynchronous,20,70,1,0.5510204081632653,MDL,0.4594594594594595,0.4594594594594595
asynchronous,20,70,1,0.5510204081632653,BDE,0.4722222222222222,0.4722222222222222
synchronous,20,70,1,0.7878571428571428,MDL,0.68,0.68
synchronous,20,20,3,0.9125,MDL,0.15625,0.08823529411764706
synchronous,20,70,1,0.7878571428571428,BDE,0.68,0.68
synchronous,20,20,3,0.9125,BDE,0.15625,0.08823529411764706
asynchronous,5,20,1,0.3,MDL,0.05555555555555555,0.05555555555555555
synchronous,20,20,1,0.7925,MDL,0.68,0.68
asynchronous,5,20,1,0.3,BDE,0.05555555555555555,0.05555555555555555
synchronous,20,20,1,0.7925,BDE,0.68,0.68
asynchronous,5,70,3,0.5285714285714286,MDL,0.3157894736842105,0.3157894736842105
asynchronous,5,70,3,0.5285714285714286,BDE,0.3333333333333333,0.3333333333333333
asynchronous,5,20,3,0.4583333333333333,MDL,0.2962962962962963,0.2962962962962963
asynchronous,5,20,3,0.4583333333333333,BDE,0.2962962962962963,0.2962962962962963
asynchronous,20,20,3,0.8666666666666667,MDL,0.32432432432432434,0.32432432432432434
synchronous,5,70,1,0.16285714285714287,MDL,0.4857142857142857,0.4857142857142857
asynchronous,20,20,3,0.8666666666666667,BDE,0.32432432432432434,0.32432432432432434
synchronous,5,70,1,0.16285714285714287,BDE,0.5666666666666667,0.5666666666666667
synchronous,20,70,5,0.9471428571428572,MDL,0.16666666666666666,0.16666666666666666
synchronous,5,70,5,0.7885714285714286,MDL,0.14705882352941177,0.14705882352941177
synchronous,5,70,5,0.7885714285714286,BDE,0.16666666666666666,0.16666666666666666
asynchronous,20,70,3,0.8435374149659864,MDL,0.3333333333333333,0.3023255813953488
synchronous,20,70,5,0.9471428571428572,BDE,0.16666666666666666,0.16666666666666666
asynchronous,20,70,3,0.8435374149659864,BDE,0.32558139534883723,0.29545454545454547
synchronous,5,20,1,0.19,MDL,0.64,0.64
synchronous,5,20,1,0.19,BDE,0.56,0.56
